Well,Target,Sample,Cq
O02,ELAVL1,Ang0hrRep1_PlusRT,24.70799245
O03,ELAVL1,Ang0.25hrRep1_MinusRT,39.44799982
O04,ELAVL1,Ang0.25hrRep1_PlusRT,24.4295288
O05,ELAVL1,Ang0.5hrRep1_MinusRT,NaN
O06,ELAVL1,Ang0.5hrRep1_PlusRT,24.46987148
O07,ELAVL1,Ang0.75hrRep1_MinusRT,38.00980703
O08,ELAVL1,Ang0.75hrRep1_PlusRT,24.30820758
O09,ELAVL1,Ang1hrRep1_MinusRT,NaN
O10,ELAVL1,Ang1hrRep1_PlusRT,24.22102587
O11,ELAVL1,Ang1.5hrRep1_MinusRT,NaN
O12,ELAVL1,Ang1.5hrRep1_PlusRT,24.31072263
O13,ELAVL1,Ang2hrRep1_MinusRT,NaN
O14,ELAVL1,Ang2hrRep1_PlusRT,25.30568497
O15,ELAVL1,Ang3hrRep1_MinusRT,NaN
O16,ELAVL1,Ang3hrRep1_PlusRT,24.68639295
O17,ELAVL1,Ang4hrRep1_MinusRT,NaN
O18,ELAVL1,Ang4hrRep1_PlusRT,24.16274922
O19,ELAVL1,Ang6hrRep1_MinusRT,NaN
O20,ELAVL1,Ang6hrRep1_PlusRT,24.22417492
O21,ELAVL1,Ang8hrRep1_MinusRT,NaN
O22,ELAVL1,Ang8hrRep1_PlusRT,24.37959264
O23,ELAVL1,Ang24hrRep1_MinusRT,NaN
O24,ELAVL1,Ang24hrRep1_PlusRT,24.41759021
P01,CYP11B2,H2ONTC_PlusRT,NaN
P02,CYP11B2,H2ONTC_PlusRT,NaN
P03,CYP11B2,H2ONTC_PlusRT,38.03017084
P04,GAPDH,H2ONTC_PlusRT,37.96284306
P05,GAPDH,H2ONTC_PlusRT,35.12572849
P06,GAPDH,H2ONTC_PlusRT,37.3259307
P07,ZFP36L1,H2ONTC_PlusRT,NaN
P08,ZFP36L1,H2ONTC_PlusRT,NaN
P09,ZFP36L1,H2ONTC_PlusRT,NaN
P10,ZFP36L2,H2ONTC_PlusRT,NaN
P11,ZFP36L2,H2ONTC_PlusRT,NaN
P12,ZFP36L2,H2ONTC_PlusRT,NaN
P13,ELAVL1,H2ONTC_PlusRT,NaN
P14,ELAVL1,H2ONTC_PlusRT,NaN
P15,ELAVL1,H2ONTC_PlusRT,NaN
